"","city","lat","lon","type_cycle","type_motorcycle","cycle","motorcycle","country","continent","continent_group","selected"
"1","Ahmedabad",23.0215374,72.5800568,"demo","demo",1.6,10,"India","Asia","Asia",1.6
"2","Amsterdam",52.3730796,4.8924534,"train","demo",42.9,4.7,"Netherlands","Europe","Europe",42.9
"3","Antwerp",51.2211097,4.3997081,"demo","demo",24.7,2.5,"Belgium","Europe","Europe",24.7
"4","Arica",-18.4785288,-70.3211394,"train","train",2.1,0,"Chile","South America","South America",2.1
"5","Baltimore",39.2908816,-76.610759,"train","train",0.9,0,"US","North America","North America",0.9
"6","Bangkok",13.7524938,100.4935089,"train","train",1,27,"Thailand","Asia","Asia",1
"7","Barcelona",41.3828939,2.1774322,"train","train",1.8,4.9,"Spain","Europe","Europe",1.8
"8","Belgrade",44.8178131,20.4568974,"train","train",0.8,0.3,"Servia","Europe","Europe",0.8
"9","Belo Horizonte",-19.9227318,-43.9450948,"train","train",1,4.6,"Brazil","South America","South America",1
"10","Bengaluru",12.98815675,77.62260004,"train","demo",1.4,18,"India","Asia","Asia",1.4
"11","Bergamo",45.7566557,9.754219201,"train","train",4.5,9.3,"Italy","Europe","Europe",4.5
"12","Bergen",60.3943055,5.3259192,"train","train",3,1,"Norway","Europe","Europe",3
"13","Berlin",52.510885,13.3989367,"train","demo",9.9,2.7,"Germany","Europe","Europe",9.9
"14","Blackpool",53.8179442,-3.0509812,"train","train",1.3,0.9,"UK","Europe","Europe",1.3
"15","Bogota",4.6533816,-74.0836333,"train","train",6.3,4.7,"Colombia","South America","South America",6.3
"16","Bologna",44.4938203,11.3426327,"train","train",5.2,8.9,"Italy","Europe","Europe",5.2
"17","Bolzano",46.65594545,11.23021287,"train","train",22.2,7.7,"Italy","Europe","Europe",22.2
"18","Bonn",50.7352621,7.1024635,"train","train",15.1,0.4,"Germany","Europe","Europe",15.1
"19","Boston",42.3554334,-71.060511,"train","train",2.1,0.1,"US","North America","North America",2.1
"20","Bratislava",48.1516988,17.1093063,"demo","demo",3,1,"Slovakia","Europe","Europe",3
"21","Brussels",50.8465573,4.351697,"train","train",4.4,1.3,"Belgium","Europe","Europe",4.4
"22","Bucharest",44.4361414,26.1027202,"train","demo",1.3,0.4,"Romania","Europe","Europe",1.3
"23","Buffalo",42.8867166,-78.8783922,"train","train",1.1,0.1,"US","North America","North America",1.1
"24","Cali",3.4519988,-76.5325259,"train","train",4.5,16.6,"Colombia","South America","South America",4.5
"25","Cambridge",52.2055314,0.1186637,"train","train",21.9,0.9,"UK","Europe","Europe",21.9
"26","Catania",37.5023612,15.0873718,"train","train",0.3,8.9,"Italy","Europe","Europe",0.3
"27","Chiang Mai",18.7882778,98.9858802,"train","train",5.7,41.2,"Thailand","Asia","Asia",5.7
"28","Chiayi",23.4591664,120.2930004,"demo","demo",2,46,"Taiwan","Asia","Asia",2
"29","Cleveland",41.4996574,-81.6936772,"train","train",0.7,0.1,"US","North America","North America",0.7
"30","Copenhagen",55.6867243,12.5700724,"demo","demo",43.4,0.8,"Denmark","Europe","Europe",43.4
"31","Copiapo",-27.3664685,-70.3322753,"train","train",1.1,0,"Chile","South America","South America",1.1
"33","Cordoba",37.8845813,-4.7760138,"train","train",2.7,5.9,"Argentina","South America","South America",2.7
"35","Dallas",32.7762719,-96.7968559,"train","train",0.2,0.1,"US","North America","North America",0.2
"36","Davao",7.0648306,125.6080623,"train","train",1.3,12.4,"Philippines","Asia","Asia",1.3
"37","Davis",40.7474784,-92.3965311,"demo","demo",3.2,2.3,"US","Africa","Africa",3.2
"39","Delhi",28.6273928,77.1716954,"train","demo",3.2,10.1,"India","Asia","Asia",3.2
"41","Denver",39.7392364,-104.984862,"train","train",2.5,0.2,"US","North America","North America",2.5
"42","Detroit",42.3315509,-83.0466403,"train","train",0.8,0,"US","North America","North America",0.8
"43","Dublin",53.3493795,-6.2605593,"train","train",7.6,0.8,"Ireland","Europe","Europe",7.6
"44","El Paso",31.7601164,-106.4870404,"train","train",0.2,0.2,"US","North America","North America",0.2
"46","Eugene",44.0505054,-123.0950506,"demo","demo",3.2,3.2,"US","Africa","Africa",3.2
"47","Ferrara",44.76676425,11.827939,"train","train",17.3,3.1,"Italy","Europe","Europe",17.3
"48","Firenze",43.7697955,11.2556404,"train","train",6.3,18.9,"Italy","Europe","Europe",6.3
"49","Fortaleza",-3.7304512,-38.5217989,"demo","demo",3.1,6.7,"Brazil","Africa","Africa",3.1
"50","Frankfurt",50.1106444,8.6820917,"train","train",15.6,0.2,"Germany","Europe","Europe",15.6
"51","Fresno",36.7394421,-119.78483,"train","train",1.1,0.3,"US","North America","North America",1.1
"52","Genova",44.40726,8.9338624,"train","train",0.3,21.1,"Italy","Europe","Europe",0.3
"53","Ghent",51.0538286,3.7250121,"train","train",33,0.8,"Belgium","Europe","Europe",33
"54","Gothenburg",57.7072326,11.9670171,"train","train",4,4,"Sweden","Europe","Europe",4
"55","Groningen",53.2190652,6.5680077,"demo","demo",28.1,1.4,"Netherlands","Europe","Europe",28.1
"56","Guadalajara",20.6720375,-103.338396,"demo","demo",2.4,2.9,"Mexico","Africa","Africa",2.4
